Episode,Total Reward
1,-481.9999492459826
2,-772.0
3,-1403.705414861266
4,-467.0
5,34.00011591754549
6,-1499.9999989783075
7,-2225.9999999999977
8,-1108.9984212702427
9,662.0000000000276
10,318.0000001695461
11,155.0446099429646
12,-405.77768897116766
13,-644.3756610788405
14,195.000342317993
15,659.9496126770973
16,-224.99899797169883
17,-470.99425962156465
18,-777.0
19,57.0
20,-455.9197074249387
21,-389.9999999901609
22,-493.99999999996743
23,-31.999999978908317
24,-1277.164139481727
25,-2702.99999999998
26,-137.0
27,-1224.0
28,98.0
29,-861.0349476188421
30,-696.9999992488745
31,-151.0
32,-253.0
33,-743.9999999999999
34,-305.9999999999959
35,-1717.9999999997906
36,-937.0
37,70.00000000000006
38,19.00000009114656
39,-568.999999999965
40,543.0
41,317.0000186112327
42,-56.9999999978194
43,244.0
44,445.0000000000001
45,-603.9997061397052
46,-344.9999964749686
47,-492.12113186641363
48,-1330.9897550146197
49,146.00000000050406
50,-966.999226633668
51,-508.99985938061025
52,55.0
53,-2416.0
54,-23.99999999996746
55,-2358.0
56,606.0039301570393
57,15.0
58,-37.999999986889996
59,-1257.9999999999911
60,-1537.9999999377949
61,-454.99999722952015
62,-605.9830960778845
63,-845.9999113750246
64,99.0
65,-657.0
66,2.0
67,-1167.998830975112
68,-115.99999580025734
69,-535.9262230116874
70,-280.0
71,78.0
72,-582.0
73,276.0
74,-1467.9999999999986
75,-887.9999995877814
76,-387.90965212036826
77,-221.99999992427988
78,-1183.7416657189606
79,-4647.0
80,-602.9758747191336
81,-52.0
82,-349.3126701157307
83,-129.99999967849286
84,407.2589136660099
85,-409.8893856579816
86,2.0338962319510756
87,-854.0
88,-5.999098456961576
89,295.00000007802635
90,-307.5557926737238
91,-389.21340925246477
92,-291.0
93,-285.0
94,-309.9949852881414
95,-346.99921329167046
96,-38.999897300918974
97,-35.999999252664274
98,50.000000138029705
99,73.00001304389883
100,-495.99999996465425
101,-1988.0
102,-181.99999999999994
103,96.00000000311499
104,-1780.9999999999998
105,-763.9996949769641
106,-251.47031905359472
107,-633.9999999999994
108,-474.9996784303472
109,-89.0
110,-268.0
111,1561.7169997096062
112,57.5198962870345
113,-817.0
114,243.0
115,508.0000000000001
116,384.0000002005505
117,-897.9999276336243
118,-1244.9999997119708
119,-223.99777869509262
120,-1500.0
121,-1962.9999999999975
122,-667.9999999979863
123,-625.7139223184931
124,164.00000000005588
125,110.74728562776
126,-1046.0
127,-2121.9999999621446
128,-1024.0
129,-779.999999999967
130,-243.97858166130027
131,-244.43901016158634
132,-359.99999917997366
133,-399.9999999999405
134,-105.91076923051878
135,-616.0
136,-52.99999998807354
137,-429.99999999999966
138,-1632.5521939680912
139,-371.99552543649725
140,-2045.9999999999998
141,-1910.0
142,-574.0
143,-587.0
144,-677.9982707666127
145,-558.9999999991642
146,-990.9999865482139
147,-1113.9537993125195
148,-1150.9999999971094
149,-1014.9988202343715
150,-329.9999999999287
151,-1132.790955759585
152,-1292.9996187056106
153,-1149.999999999914
154,148.6469192961231
155,258.00050389645094
156,151.000056862287
157,-628.9968003431895
158,-20.999999585197806
159,-985.9999839190092
160,-1198.0
161,-515.9999999616375
162,-330.8416305803694
163,-28.0
164,-1933.9999999998279
165,-1093.9999999740369
166,-642.0
167,52.0
168,-593.9999976417259
169,117.1551069021225
170,-893.9999999999989
171,-591.9999992289804
172,-176.99999951117408
173,-1168.9999999999989
174,-248.99999993606147
175,14.000007922088031
176,-861.0
177,-764.999999999979
178,-337.8774517397396
179,-949.9999999999453
180,-1024.0
181,-1308.0
182,-9.98086974605394
183,1364.630828499794
