Episode,Total Reward
1,-5364.999996478014
2,-5071.0
3,-2957.954807123172
4,-2178.99996778107
5,-8145.999999911781
6,-2334.9999999988136
7,-6566.9999999509355
8,-3644.999999998143
9,-4982.999716804104
10,-6995.999997087851
11,-810.9999999938527
12,-6032.99977852869
13,-2265.9999962642523
14,-3082.0
15,-7834.999999977287
16,-3262.0
17,-1069.9999999962445
18,-713.0
19,-5719.7328687889385
20,-6985.24861823325
21,-9655.349945347873
22,-5098.999594704301
23,-9741.99999862441
24,-3113.0
25,-4416.0
26,-3949.9997316435924
27,-2604.9999998873955
28,-5103.999999939649
29,-6387.076092635049
30,-1796.0
31,-1931.0
32,-2925.9999992503717
33,-7046.999921576827
34,-2056.9999999999272
35,-1102.9999999999989
36,-6168.999257629715
37,-1338.9999999999998
38,-3200.9999904792544
39,-3133.999999999586
40,-2798.999999997005
41,-4747.9999999998345
42,-2315.999999999408
43,-2392.5693495857995
44,-3961.9999999999964
45,-1743.9999997051016
46,-4147.999999999785
47,-3698.999999680135
48,-4601.0
49,-4595.750477060676
50,-7299.985485390206
51,-4373.999999999964
52,-1339.9752530254455
53,-4828.023566015327
54,-3749.1018639951944
55,-5429.99998578337
56,-2995.999974412726
57,-3447.5238378999056
58,-3767.99988553162
59,-2631.995746099022
60,-1846.999999999942
61,-5992.0
62,-2501.9999999999964
63,-3378.999999999999
64,-4311.999119401329
65,-1446.9999986981677
66,-2212.9999999960387
67,-5546.97188147204
68,-1269.9901055693626
69,-2050.9999999999955
70,-4385.999999613448
71,-1740.999999992561
72,-2534.0
73,-3035.9999999899023
74,-2558.9999999964557
75,-1352.9999984640876
76,-2581.0
77,-2041.3363095140085
78,-427.63326409831643
79,913.0000000000001
80,-2266.516307657941
81,-54.08989884890616
82,-5175.0
83,-3220.8237405059444
84,-421.3239038058673
85,-230.99831563405522
86,-1871.9999999998613
87,-3838.999899856483
88,-1618.8711107831914
89,-1077.9873225885426
90,-2553.999999421287
91,-2234.092626391648
92,-1994.1787468865514
93,-1779.9986163346975
94,-665.9277378320694
95,-1984.9999999999816
96,-1008.9548743961577
97,-2265.999999622451
98,-1882.162912385189
99,-3367.999776726047
100,-1935.9998835182914
101,-2062.9999999997717
102,-1547.9999923627765
103,960.0534722734074
104,966.000000051752
105,-1026.9904575686742
106,375.0000001794574
107,-2471.999481924851
108,-423.99990061558447
109,-489.99998206236944
110,-2138.9999999265096
111,-2992.1551879098406
112,466.0000000000002
113,-2250.9999999993033
114,234.0759327921969
115,-1520.9984177263013
116,-474.9999720916205
117,-18.99999998769386
118,-120.99999999932167
119,-1112.9999892194141
120,-1407.029193310067
121,-779.468354661949
122,471.0000001176767
123,285.0000003417179
